table2Version;indicatorOfParameter;shortName;comment
253;133;msca;Mask of significant cloud amount  [
253;134;unknown;Available  [
253;135;psct;Icing index  [Code table]
253;136;unknown;Pseudo satellite image, cloud top temperature (infrared)  [K]
253;137;pstb;Pseudo satellite image, water vapour brightness temperature  [K]
253;138;pstbc;Pseudo satellite image, water vapour br. temp. + correction for clouds  [K]
253;139;pscw;Pseudo satellite image, cloud water reflectivity (visible)  [?]
253;140;unknown;Available  [
253;141;unknown;Available  [
253;142;unknown;Available  [
253;143;unknown;Available  [
253;144;prtp;Precipition Type  [Code table]
253;145;unknown;Available  [
253;146;unknown;Available  [
253;147;unknown;Available  [
253;148;unknown;Available  [
253;149;unknown;Available  [
253;150;unknown;Available  [
253;151;unknown;Available  [
253;152;unknown;Available  [
253;153;unknown;Available  [
253;154;unknown;Available  [
253;155;unknown;Available  [
253;156;unknown;Available  [
253;157;unknown;Available  [
253;158;unknown;Surface downward moon radiation  [W m-2]
253;159;unknown;Available  [
253;160;cape;CAPE out of the model  [J kg-1]
253;161;xhail;AROME hail diagnostic  [%]
253;162;ugst;U-momentum of gusts out of the model  [m s-1]
253;163;vgst;V-momentum of gusts out of the model  [m s-1]
253;164;unknown;Available  [
253;165;unknown;Available  [
253;166;mcn;MOCON out of the model  [kg/kg s-1]
253;167;totqv;Total water vapour
253;168;unknown;Available  [
253;169;unknown;Available  [
253;170;unknown;Brightness temperature OZ clear  [K]
253;171;unknown;Brightness temperature OZ cloud  [K]
253;172;unknown;Brightness temperature IR clear  [K]
253;173;unknown;Brightness temperature IR cloud  [K]
253;174;unknown;Brightness temperature WV clear  [K]
253;175;unknown;Brightness temperature WV cloud  [K]
253;176;unknown;Available  [
253;177;unknown;Available  [
253;178;unknown;Available  [
253;179;unknown;Available  [
253;180;unknown;Available  [
253;181;rain;Rain  [kg m-2]
253;182;srain;Stratiform Rain  [kg m-2]
253;183;cr;Convective Rain  [kg m-2]
253;184;unknown;Snow  [kg m-2]
253;185;tpsolid;Total solid precipitation  [kg m-2]
253;186;unknown;Cloud base [
253;187;ct;Cloud top  [
253;188;ful;Fraction of urban land  [Proportion]
253;189;unknown;Available  [
253;190;unknown;Snow Albedo  [Proportion]
253;191;rsn;Snow density  [kg/m3]
253;192;w_i;Water on canopy  [kg/m2]
253;193;w_so_ice;Soil ice  [kg/m2]
253;194;unknown;Available  [
253;195;gwdu;Gravity wave stress U-comp  [N/m2]
253;196;gwdv;Gravity wave stress V-comp  [N/m2]
253;197;unknown;Available  [
253;198;unknown;Available  [
253;199;unknown;Vegetation type  [-]
253;200;tke;TKE  [m2 s-2]
253;201;grpl;Graupel  [kg m-2]
253;202;unknown;Stratiform Graupel  [kg m-2]
253;203;unknown;Convective Graupel  [kg m-2]
253;204;hail;Hail  [kg m-2]
253;205;unknown;Stratiform Hail  [kg m-2]
253;206;unknown;Convective Hail  [kg m-2]
253;207;unknown;Available  [
253;208;unknown;Available  [
253;209;lgt;Lightning [
253;210;refl;Simulated reflectivity  [dBz]
253;211;unknown;Available  [
253;212;pdep;Pressure departure  [Pa]
253;213;vdiv;Vertical divergence  [s-1]
253;214;upom;UD_OMEGA  [ms-1?]
253;215;dnom;DD_OMEGA  [ms-1?]
253;216;upmf;UD_MESH_FRAC  [-]
253;217;dnmf;DD_MESH_FRAC  [-]
253;218;unknown;PSHI_CONV_CL  [-]
253;219;unknown;Surface albedo for non snow covered areas  [Proportion]
253;220;stdo;Standard deviation of orography * g  [J/Kg]
253;221;atop;Anisotropy coeff of topography  [-]
253;222;dtop;Direction of main axis of topography  [rad]
253;223;unknown;Roughness length of bare surface * g  [m2 s-2]
253;224;unknown;Roughness length for vegetation * g  [m2 s-2]
253;225;clfr;Fraction of clay within soil  [Proportion]
253;226;slfr;Fraction of sand within soil  [Proportion]
253;227;unknown;Maximum proportion of vegetation  [Proportion]
253;228;fg;Gust wind speed  [m s-1]
253;229;alb;Albedo of bare ground  [Proportion]
253;230;alv;Albedo of vegetation  [Proportion]
253;231;smnr;Stomatal minimum resistance  [s/m]
253;232;lai;Leaf area index  [m2/m2]
253;233;unknown;Thetaprimwprim surface flux  [Km/s]
253;234;dvi;Dominant vegetation index  [-]
253;235;se;Surface emissivity  [-]
253;236;unknown;Maximum soil depth  [m]
253;237;sld;Soil depth  [m]
253;238;unknown;Surface liquid water content  [kg/m2]
253;239;zt;Thermal roughness length * g  [m2 s-2]
253;240;rev;Resistance to evapotransiration  [s/m]
253;241;rmn;Minimum relative moisture at 2 meters  [%]
253;242;rmx;Maximum relative moisture at 2 meters  [%]
