"field";"name";"comment"
150;SurfSWrad;Surf Solar radiation J/sq m J/sq m
151;SurfLWrad;Surf Thermal radiation J/sq m J/sq m
152;TopSWrad;Top Solar radiation J/sq m J/sq m
153;TopLWrad;Top Thermal radiation J/sq m J/sq m
154;csSWF;Clear sky Shrt Wv rad flx J/sq m J/sq m
155;csLWF;Clear sky Long Wv rad flx J/sq m J/sq m
156;SPF;Surf Parall Solar flx J/sq m J/sq m
157;TPF;Top Parall Solar flx J/sq m J/sq m
158;SurfDownSW;Surf Downward Solar flux J/sq m J/sq m
159;SurfDownLW;Surf Downward Thermal flx J/sq m J/sq m
160;SoilHeatFlux;Soil heat flux J/sq m J/sq m
161;SoilWaterFlux;Soil water flux kg/sq m kg/sq m
162;SurfRunoff;Surface runoff  kg/sq m kg/sq m
163;DSR;Deep soil runoff  kg/sq m kg/sq m
164;IRR;Interception res runoff  kg/sq m kg/sq m
165;EvapoTrans;Evapotranspiration    
166;Trans;Transpiration    
167;TotO3;Total Ozone    
168;TPW;Tot Precipitable Water m mm
169;SSM;Solid specific moisture kg/kg  kg/kg 
170;LSM;Liquid specific moisture kg/kg kg/kg
171;CFU;Convective flux of U m/s m/s
172;CFV;Convective flux of V m/s m/s
173;CFM;Convec Moist flux (Q) kg/sq m kg/sq m
174;CFH;Convec Heat flux (Cp.T) J/sq m J/sq m
175;TFU;Turbulent flux of U m/s m/s
176;TFV;Turbulent flux of V m/s m/s
177;TFM;Turbul Moist flux (Q) kg/sq m kg/sq m
178;TFH;Turbul Heat flux (Cp.T) J/sq m J/sq m
179;ZTS;Zonal Turbulent stress N/sq m N/sq m
180;MTS;Merid. Turbulent stress N/sq m N/sq m
181;ZGWS;Zonal Grav wave stress N/sq m N/sq m
182;MGWS;Merid. Grav wave stress N/sq m N/sq m
183;GWD;Gravity Wave dissipation J/sq m J/sq m
184;SPT;Tendency of surf press Pa/s Pa/s
185;CumCape;Time Cumulated Cape (J*s)
186;CumMocon;Time Cumulated Mocon (kg/kg)
187;DurPrec;Duration of total Precip.
188;NA;NA
189;NA;NA
190;NA;NA
191;SBLwind;SBL Wind Velocity (m/s)
192;U10;10 m u  wind component m/s m/s
193;V10;10 m v  wind component m/s m/s
194;T2;2 m temperature K \SP\o\SPR\C
195;DT2;2 m dewpoint temperature K \SP\o\SPR\C
196;RH2;2m Relative humidity % %
197;SH2;2m Specific humidity kg/kg g/kg
