"latitude" "regular" "reduced"
-89.462822 512 18
-88.766951 512 25
-88.066972 512 36
-87.366063 512 40
-86.664803 512 45
-85.963372 512 50
-85.261846 512 60
-84.560261 512 64
-83.858638 512 72
-83.156988 512 72
-82.455319 512 80
-81.753635 512 90
-81.05194 512 90
-80.350237 512 100
-79.648527 512 108
-78.946811 512 120
-78.245091 512 120
-77.543367 512 125
-76.84164 512 128
-76.13991 512 144
-75.438177 512 144
-74.736443 512 150
-74.034707 512 160
-73.33297 512 160
-72.631231 512 180
-71.929491 512 180
-71.22775 512 180
-70.526008 512 192
-69.824265 512 192
-69.122522 512 200
-68.420777 512 216
-67.719033 512 216
-67.017287 512 216
-66.315541 512 225
-65.613795 512 240
-64.912048 512 240
-64.210301 512 240
-63.508554 512 250
-62.806806 512 250
-62.105058 512 256
-61.403309 512 270
-60.70156 512 270
-59.999811 512 288
-59.298062 512 288
-58.596313 512 288
-57.894563 512 300
-57.192814 512 300
-56.491064 512 320
-55.789314 512 320
-55.087563 512 320
-54.385813 512 320
-53.684062 512 324
-52.982312 512 360
-52.280561 512 360
-51.57881 512 360
-50.877059 512 360
-50.175308 512 360
-49.473557 512 360
-48.771806 512 360
-48.070054 512 375
-47.368303 512 375
-46.666551 512 375
-45.9648 512 375
-45.263048 512 384
-44.561296 512 384
-43.859545 512 400
-43.157793 512 400
-42.456041 512 400
-41.754289 512 400
-41.052537 512 405
-40.350785 512 432
-39.649033 512 432
-38.94728 512 432
-38.245528 512 432
-37.543776 512 432
-36.842024 512 432
-36.140271 512 432
-35.438519 512 450
-34.736767 512 450
-34.035014 512 450
-33.333262 512 450
-32.631509 512 450
-31.929757 512 480
-31.228004 512 480
-30.526252 512 480
-29.824499 512 480
-29.122746 512 480
-28.420994 512 480
-27.719241 512 480
-27.017488 512 480
-26.315736 512 480
-25.613983 512 480
-24.91223 512 486
-24.210477 512 486
-23.508725 512 486
-22.806972 512 500
-22.105219 512 500
-21.403466 512 500
-20.701713 512 500
-19.99996 512 500
-19.298207 512 500
-18.596455 512 500
-17.894702 512 512
-17.192949 512 512
-16.491196 512 512
-15.789443 512 512
-15.08769 512 512
-14.385937 512 512
-13.684184 512 512
-12.982431 512 512
-12.280678 512 512
-11.578925 512 512
-10.877172 512 512
-10.175419 512 512
-9.473666 512 512
-8.771913 512 512
-8.07016 512 512
-7.368407 512 512
-6.666654 512 512
-5.964901 512 512
-5.263148 512 512
-4.561395 512 512
-3.859642 512 512
-3.157889 512 512
-2.456136 512 512
-1.754383 512 512
-1.05263 512 512
-0.350877 512 512
0.350877 512 512
1.05263 512 512
1.754383 512 512
2.456136 512 512
3.157889 512 512
3.859642 512 512
4.561395 512 512
5.263148 512 512
5.964901 512 512
6.666654 512 512
7.368407 512 512
8.07016 512 512
8.771913 512 512
9.473666 512 512
10.175419 512 512
10.877172 512 512
11.578925 512 512
12.280678 512 512
12.982431 512 512
13.684184 512 512
14.385937 512 512
15.08769 512 512
15.789443 512 512
16.491196 512 512
17.192949 512 512
17.894702 512 512
18.596455 512 500
19.298207 512 500
19.99996 512 500
20.701713 512 500
21.403466 512 500
22.105219 512 500
22.806972 512 500
23.508725 512 486
24.210477 512 486
24.91223 512 486
25.613983 512 480
26.315736 512 480
27.017488 512 480
27.719241 512 480
28.420994 512 480
29.122746 512 480
29.824499 512 480
30.526252 512 480
31.228004 512 480
31.929757 512 480
32.631509 512 450
33.333262 512 450
34.035014 512 450
34.736767 512 450
35.438519 512 450
36.140271 512 432
36.842024 512 432
37.543776 512 432
38.245528 512 432
38.94728 512 432
39.649033 512 432
40.350785 512 432
41.052537 512 405
41.754289 512 400
42.456041 512 400
43.157793 512 400
43.859545 512 400
44.561296 512 384
45.263048 512 384
45.9648 512 375
46.666551 512 375
47.368303 512 375
48.070054 512 375
48.771806 512 360
49.473557 512 360
50.175308 512 360
50.877059 512 360
51.57881 512 360
52.280561 512 360
52.982312 512 360
53.684062 512 324
54.385813 512 320
55.087563 512 320
55.789314 512 320
56.491064 512 320
57.192814 512 300
57.894563 512 300
58.596313 512 288
59.298062 512 288
59.999811 512 288
60.70156 512 270
61.403309 512 270
62.105058 512 256
62.806806 512 250
63.508554 512 250
64.210301 512 240
64.912048 512 240
65.613795 512 240
66.315541 512 225
67.017287 512 216
67.719033 512 216
68.420777 512 216
69.122522 512 200
69.824265 512 192
70.526008 512 192
71.22775 512 180
71.929491 512 180
72.631231 512 180
73.33297 512 160
74.034707 512 160
74.736443 512 150
75.438177 512 144
76.13991 512 144
76.84164 512 128
77.543367 512 125
78.245091 512 120
78.946811 512 120
79.648527 512 108
80.350237 512 100
81.05194 512 90
81.753635 512 90
82.455319 512 80
83.156988 512 72
83.858638 512 72
84.560261 512 64
85.261846 512 60
85.963372 512 50
86.664803 512 45
87.366063 512 40
88.066972 512 36
88.766951 512 25
89.462822 512 18
