"latitude" "reduced"
-89.865509 18
-89.691286 25
-89.516035 32
-89.340551 40
-89.164979 45
-88.989365 50
-88.813726 60
-88.638073 60
-88.462411 72
-88.286741 72
-88.111067 75
-87.935389 81
-87.759709 90
-87.584026 96
-87.408341 96
-87.232655 100
-87.056968 108
-86.88128 120
-86.705592 125
-86.529902 128
-86.354212 135
-86.178522 144
-86.002831 150
-85.827139 160
-85.651448 160
-85.475756 180
-85.300063 180
-85.124371 180
-84.948678 192
-84.772985 192
-84.597292 200
-84.421599 216
-84.245906 216
-84.070212 225
-83.894519 225
-83.718825 240
-83.543132 240
-83.367438 243
-83.191744 250
-83.01605 256
-82.840356 270
-82.664661 270
-82.488967 288
-82.313273 288
-82.137579 288
-81.961884 300
-81.78619 320
-81.610495 320
-81.434801 320
-81.259106 320
-81.083412 360
-80.907717 360
-80.732023 360
-80.556328 360
-80.380633 360
-80.204939 360
-80.029244 375
-79.853549 375
-79.677854 384
-79.502159 384
-79.326465 400
-79.15077 400
-78.975075 400
-78.79938 432
-78.623685 432
-78.44799 432
-78.272295 432
-78.0966 450
-77.920905 450
-77.74521 450
-77.569515 480
-77.39382 480
-77.218125 480
-77.04243 480
-76.866735 480
-76.69104 486
-76.515345 500
-76.33965 500
-76.163955 512
-75.98826 512
-75.812565 540
-75.636869 540
-75.461174 540
-75.285479 540
-75.109784 540
-74.934089 576
-74.758394 576
-74.582699 576
-74.407003 576
-74.231308 576
-74.055613 576
-73.879918 600
-73.704223 600
-73.528527 600
-73.352832 640
-73.177137 640
-73.001442 640
-72.825747 640
-72.650051 640
-72.474356 640
-72.298661 640
-72.122966 648
-71.94727 675
-71.771575 675
-71.59588 675
-71.420185 675
-71.244489 675
-71.068794 720
-70.893099 720
-70.717404 720
-70.541708 720
-70.366013 720
-70.190318 720
-70.014623 720
-69.838927 729
-69.663232 729
-69.487537 750
-69.311841 750
-69.136146 750
-68.960451 768
-68.784755 768
-68.60906 768
-68.433365 800
-68.25767 800
-68.081974 800
-67.906279 800
-67.730584 800
-67.554888 800
-67.379193 810
-67.203498 864
-67.027802 864
-66.852107 864
-66.676412 864
-66.500716 864
-66.325021 864
-66.149326 864
-65.97363 864
-65.797935 864
-65.62224 864
-65.446544 900
-65.270849 900
-65.095154 900
-64.919458 900
-64.743763 900
-64.568068 900
-64.392372 960
-64.216677 960
-64.040982 960
-63.865286 960
-63.689591 960
-63.513896 960
-63.3382 960
-63.162505 960
-62.986809 960
-62.811114 960
-62.635419 960
-62.459723 972
-62.284028 972
-62.108333 1000
-61.932637 1000
-61.756942 1000
-61.581247 1000
-61.405551 1000
-61.229856 1024
-61.05416 1024
-60.878465 1024
-60.70277 1024
-60.527074 1080
-60.351379 1080
-60.175684 1080
-59.999988 1080
-59.824293 1080
-59.648597 1080
-59.472902 1080
-59.297207 1080
-59.121511 1080
-58.945816 1080
-58.770121 1125
-58.594425 1125
-58.41873 1125
-58.243034 1125
-58.067339 1125
-57.891644 1125
-57.715948 1125
-57.540253 1125
-57.364557 1125
-57.188862 1152
-57.013167 1152
-56.837471 1152
-56.661776 1152
-56.48608 1152
-56.310385 1200
-56.13469 1200
-55.958994 1200
-55.783299 1200
-55.607604 1200
-55.431908 1200
-55.256213 1200
-55.080517 1200
-54.904822 1200
-54.729127 1215
-54.553431 1215
-54.377736 1215
