"latitude" "regular" "reduced"
-89.141519 320 18
-88.029429 320 25
-86.910771 320 36
-85.790629 320 40
-84.669924 320 45
-83.548947 320 54
-82.427818 320 60
-81.306595 320 64
-80.18531 320 72
-79.063982 320 72
-77.942624 320 80
-76.821243 320 90
-75.699844 320 96
-74.578432 320 100
-73.457008 320 108
-72.335576 320 120
-71.214136 320 120
-70.09269 320 128
-68.97124 320 135
-67.849784 320 144
-66.728326 320 144
-65.606864 320 150
-64.485399 320 160
-63.363932 320 160
-62.242462 320 180
-61.120991 320 180
-59.999518 320 180
-58.878044 320 192
-57.756569 320 192
-56.635092 320 200
-55.513614 320 200
-54.392135 320 216
-53.270655 320 216
-52.149175 320 216
-51.027694 320 225
-49.906212 320 225
-48.784729 320 240
-47.663246 320 240
-46.541763 320 240
-45.420279 320 256
-44.298794 320 256
-43.177309 320 256
-42.055824 320 256
-40.934338 320 288
-39.812852 320 288
-38.691366 320 288
-37.56988 320 288
-36.448393 320 288
-35.326906 320 288
-34.205418 320 288
-33.083931 320 288
-31.962443 320 288
-30.840955 320 300
-29.719467 320 300
-28.597979 320 300
-27.476491 320 300
-26.355002 320 320
-25.233514 320 320
-24.112025 320 320
-22.990536 320 320
-21.869047 320 320
-20.747558 320 320
-19.626069 320 320
-18.50458 320 320
-17.383091 320 320
-16.261601 320 320
-15.140112 320 320
-14.018622 320 320
-12.897133 320 320
-11.775643 320 320
-10.654153 320 320
-9.532664 320 320
-8.411174 320 320
-7.289684 320 320
-6.168194 320 320
-5.046704 320 320
-3.925215 320 320
-2.803725 320 320
-1.682235 320 320
-0.560745 320 320
0.560745 320 320
1.682235 320 320
2.803725 320 320
3.925215 320 320
5.046704 320 320
6.168194 320 320
7.289684 320 320
8.411174 320 320
9.532664 320 320
10.654153 320 320
11.775643 320 320
12.897133 320 320
14.018622 320 320
15.140112 320 320
16.261601 320 320
17.383091 320 320
18.50458 320 320
19.626069 320 320
20.747558 320 320
21.869047 320 320
22.990536 320 320
24.112025 320 320
25.233514 320 320
26.355002 320 320
27.476491 320 300
28.597979 320 300
29.719467 320 300
30.840955 320 300
31.962443 320 288
33.083931 320 288
34.205418 320 288
35.326906 320 288
36.448393 320 288
37.56988 320 288
38.691366 320 288
39.812852 320 288
40.934338 320 288
42.055824 320 256
43.177309 320 256
44.298794 320 256
45.420279 320 256
46.541763 320 240
47.663246 320 240
48.784729 320 240
49.906212 320 225
51.027694 320 225
52.149175 320 216
53.270655 320 216
54.392135 320 216
55.513614 320 200
56.635092 320 200
57.756569 320 192
58.878044 320 192
59.999518 320 180
61.120991 320 180
62.242462 320 180
63.363932 320 160
64.485399 320 160
65.606864 320 150
66.728326 320 144
67.849784 320 144
68.97124 320 135
70.09269 320 128
71.214136 320 120
72.335576 320 120
73.457008 320 108
74.578432 320 100
75.699844 320 96
76.821243 320 90
77.942624 320 80
79.063982 320 72
80.18531 320 72
81.306595 320 64
82.427818 320 60
83.548947 320 54
84.669924 320 45
85.790629 320 40
86.910771 320 36
88.029429 320 25
89.141519 320 18
