"latitude" "regular" "reduced"
-89.57009 640 18
-89.013176 640 25
-88.452974 640 36
-87.892028 640 40
-87.330801 640 45
-86.769438 640 50
-86.207998 640 60
-85.646511 640 64
-85.084993 640 72
-84.523454 640 72
-83.9619 640 80
-83.400334 640 90
-82.838759 640 90
-82.277177 640 96
-81.71559 640 108
-81.153998 640 120
-80.592403 640 120
-80.030805 640 125
-79.469204 640 128
-78.907601 640 135
-78.345996 640 144
-77.784389 640 150
-77.222782 640 160
-76.661172 640 160
-76.099562 640 180
-75.537951 640 180
-74.976339 640 180
-74.414727 640 192
-73.853113 640 192
-73.291499 640 200
-72.729885 640 216
-72.16827 640 216
-71.606655 640 225
-71.045039 640 225
-70.483423 640 240
-69.921806 640 240
-69.360189 640 243
-68.798572 640 250
-68.236955 640 256
-67.675337 640 270
-67.113719 640 270
-66.552101 640 288
-65.990483 640 288
-65.428865 640 288
-64.867246 640 300
-64.305627 640 300
-63.744008 640 320
-63.182389 640 320
-62.62077 640 320
-62.059151 640 320
-61.497532 640 324
-60.935912 640 360
-60.374292 640 360
-59.812673 640 360
-59.251053 640 360
-58.689433 640 360
-58.127813 640 360
-57.566193 640 375
-57.004573 640 375
-56.442953 640 375
-55.881332 640 384
-55.319712 640 384
-54.758092 640 400
-54.196471 640 400
-53.634851 640 400
-53.07323 640 405
-52.51161 640 432
-51.949989 640 432
-51.388368 640 432
-50.826748 640 432
-50.265127 640 432
-49.703506 640 450
-49.141885 640 450
-48.580264 640 450
-48.018643 640 450
-47.457022 640 480
-46.895401 640 480
-46.33378 640 480
-45.772159 640 480
-45.210538 640 480
-44.648917 640 480
-44.087296 640 480
-43.525675 640 500
-42.964054 640 500
-42.402432 640 500
-41.840811 640 500
-41.27919 640 500
-40.717569 640 512
-40.155947 640 512
-39.594326 640 540
-39.032705 640 540
-38.471083 640 540
-37.909462 640 540
-37.347841 640 540
-36.786219 640 540
-36.224598 640 540
-35.662976 640 540
-35.101355 640 576
-34.539734 640 576
-33.978112 640 576
-33.416491 640 576
-32.854869 640 576
-32.293248 640 576
-31.731626 640 576
-31.170005 640 576
-30.608383 640 576
-30.046762 640 576
-29.48514 640 600
-28.923518 640 600
-28.361897 640 600
-27.800275 640 600
-27.238654 640 600
-26.677032 640 600
-26.11541 640 600
-25.553789 640 600
-24.992167 640 600
-24.430546 640 640
-23.868924 640 640
-23.307302 640 640
-22.745681 640 640
-22.184059 640 640
-21.622437 640 640
-21.060816 640 640
-20.499194 640 640
-19.937572 640 640
-19.375951 640 640
-18.814329 640 640
-18.252707 640 640
-17.691085 640 640
-17.129464 640 640
-16.567842 640 640
-16.00622 640 640
-15.444599 640 640
-14.882977 640 640
-14.321355 640 640
-13.759733 640 640
-13.198112 640 640
-12.63649 640 640
-12.074868 640 640
-11.513246 640 640
-10.951625 640 640
-10.390003 640 640
-9.828381 640 640
-9.266759 640 640
-8.705138 640 640
-8.143516 640 640
-7.581894 640 640
-7.020272 640 640
-6.45865 640 640
-5.897029 640 640
-5.335407 640 640
-4.773785 640 640
-4.212163 640 640
-3.650542 640 640
-3.08892 640 640
-2.527298 640 640
-1.965676 640 640
-1.404054 640 640
-0.842433 640 640
-0.280811 640 640
0.280811 640 640
0.842433 640 640
1.404054 640 640
1.965676 640 640
2.527298 640 640
3.08892 640 640
3.650542 640 640
4.212163 640 640
4.773785 640 640
5.335407 640 640
5.897029 640 640
6.45865 640 640
7.020272 640 640
7.581894 640 640
8.143516 640 640
8.705138 640 640
9.266759 640 640
9.828381 640 640
10.390003 640 640
10.951625 640 640
11.513246 640 640
12.074868 640 640
12.63649 640 640
13.198112 640 640
13.759733 640 640
14.321355 640 640
14.882977 640 640
15.444599 640 640
16.00622 640 640
16.567842 640 640
17.129464 640 640
17.691085 640 640
18.252707 640 640
18.814329 640 640
19.375951 640 640
19.937572 640 640
20.499194 640 640
21.060816 640 640
21.622437 640 640
22.184059 640 640
22.745681 640 640
23.307302 640 640
23.868924 640 640
24.430546 640 640
24.992167 640 600
25.553789 640 600
26.11541 640 600
26.677032 640 600
27.238654 640 600
27.800275 640 600
28.361897 640 600
28.923518 640 600
29.48514 640 600
30.046762 640 576
30.608383 640 576
31.170005 640 576
31.731626 640 576
32.293248 640 576
32.854869 640 576
33.416491 640 576
33.978112 640 576
34.539734 640 576
35.101355 640 576
35.662976 640 540
36.224598 640 540
36.786219 640 540
37.347841 640 540
37.909462 640 540
38.471083 640 540
39.032705 640 540
39.594326 640 540
40.155947 640 512
40.717569 640 512
41.27919 640 500
41.840811 640 500
42.402432 640 500
